TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-11-29,2024-11-29,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1670.35,1684.30,1662.05,1673.15,1668.25,1670.35,,1673.05,,,87065,145860172.65,13815,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,1797,INE01BK01022,AWHCL,EQ,,,,,ANTONY WASTE HDG CELL LTD,639.35,639.90,621.95,630.75,632.00,634.70,,630.85,,,71220,44859302.30,5135,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,19587,INE0P4T01013,ACSAL,ST,,,,,ARVIND AND COMPANY,90.15,90.15,90.15,90.15,90.15,88.40,,90.15,,,1500,135225.00,1,F1,1500,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,24908,INE0R4Z01018,BRACEPORT,ST,,,,,BRACE PORT LOGISTICS LTD,109.00,113.00,108.50,108.75,108.50,109.75,,108.75,,,33600,3702400.00,21,F1,1600,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,11731,INE025A01027,CONSOFINVT,EQ,,,,,CONSO. FIN. & HOLD. LTD.,212.80,213.19,208.00,209.91,210.00,210.15,,209.91,,,8417,1763130.69,393,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,23489,INE343G01021,BHARTIHEXA,EQ,,,,,BHARTI HEXACOM LIMITED,1319.00,1397.00,1311.05,1376.20,1379.00,1310.00,,1376.20,,,1117525,1529086582.80,59469,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,13517,INE548C01032,EMAMILTD,EQ,,,,,EMAMI LIMITED,670.00,689.50,664.60,684.00,680.20,669.20,,683.95,,,299320,203605634.30,24576,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,17685,INE390G01014,GPTINFRA,EQ,,,,,GPT INFRAPROJECTS LTD,147.79,153.45,147.00,148.71,148.73,146.67,,148.70,,,523573,78766194.94,8132,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,716,INE715Y01023,SHRADHA,BE,,,,,SHRADHA INFRAPROJECTS LTD,205.56,205.56,203.54,203.55,203.55,201.53,,203.55,,,25575,5256916.89,81,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,13634,INE01IU01018,SKYGOLD,BE,,,,,SKY GOLD LIMITED,3820.50,3988.00,3752.00,3854.45,3918.10,3811.25,,3857.30,,,37593,145781456.45,3672,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,11829,INE802C01033,SSWL,EQ,,,,,STEEL STRIPS WHEELS LTD.,206.46,206.65,202.02,202.77,203.70,204.84,,202.80,,,161189,32880122.87,6240,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,8890,INE0IQ001011,VERANDA,EQ,,,,,VERANDA LEARNING SOL LTD,237.90,246.20,233.50,241.80,243.50,235.70,,241.75,,,100143,24113983.90,1962,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,6908,INE270I01022,VISHNU,EQ,,,,,VISHNU CHEMICALS LIMITED,396.65,407.05,390.00,398.90,398.80,394.80,,398.90,,,158474,63132738.60,4164,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,46,INE890C01046,SANWARIA,BZ,,,,,SANWARIA CONSUMER LIMITED,0.49,0.49,0.48,0.48,0.49,0.48,,0.48,,,339027,164272.17,272,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,8940,INE255Z01019,E2E,BE,,,,,E2E NETWORKS LIMITED,4500.05,4595.00,4437.90,4437.90,4437.90,4671.45,,4437.90,,,38780,173800130.30,3615,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,1127,INE539A01019,GHCL,EQ,,,,,GHCL LIMITED,599.90,605.35,590.90,601.60,600.05,597.30,,601.60,,,84934,50988388.35,7885,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,1720,INE364A01020,JAYSREETEA,EQ,,,,,JAYSHREE TEA & INDUSTRIES,136.79,140.51,136.18,140.01,139.60,136.79,,140.05,,,200783,27786331.63,2741,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,27079,INE127T01021,KPEL,EQ,,,,,K.P. ENERGY LIMITED,598.45,626.55,580.55,620.05,620.00,596.75,,620.10,,,246852,149545070.30,7256,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,23480,INE985A01022,SINCLAIR,EQ,,,,,SINCLAIRS HOTELS LIMITED,105.77,107.50,100.21,106.58,107.00,104.87,,106.54,,,60167,6275469.21,3010,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,11374,INE0LQS01015,TIPSFILMS,EQ,,,,,TIPS FILMS LIMITED,568.90,568.90,551.55,557.55,555.05,563.35,,557.55,,,7785,4333799.95,708,F1,1,,,,,
2024-11-29,2024-11-29,CM,NSE,STK,5428,INE948A01012,TRIGYN,EQ,,,,,TRIGYN TECHNOLOGIES LTD,113.00,114.65,112.00,113.91,113.47,112.27,,113.95,,,56962,6451087.45,1055,F1,1,,,,,
